file,status,signature,read_error
2019-06-29_09-26-55__kZ7lPWzd0Qa2FsvZwnSbCiUsijcuS4AO2FHDFW7q.xlsx,ok,код | наименование | цена | заказ,
2020-01-17_07-15-21__WcVxsP4LtIYxO7lGGDH1rHCy8kq63AoleB6zoMLk.xlsx,ok,код | наименование | цена | заказ,
2020-01-17_13-08-42__jFOvc7dQNOpINrRPa7VxKUDHlM9UNlwhpw3xiM5O.xlsx,ok,код | наименование | цена | заказ,
2020-01-20_10-38-46__K6zSkX8fLvj0PKYo5rifJpJSYbns6vmmf4hUbSPG.xlsx,ok,код | наименование | цена | заказ,
2020-01-21_09-30-26__kx7Plik9fBArbYAuOgNqVpjIk919Z8R3ERwaClwk.xlsx,ok,код | наименование | цена | заказ,
2020-01-23_09-00-00__04uofXM6h4QsltUqSDnKEfGHnWbORau60fRpwte2.xlsx,ok,код | наименование | цена | заказ,
2020-01-28_10-56-45__i8IYYSgpcfPvaQ2edMxj81sTC4gtLaDUmxKsE7C7.xlsx,outlier_signature,код товара | наименование товара | цена | заказ,
2020-01-30_14-50-32__pEgZFgULccL4HX50CxrC7jdeHLq3NXp6CVpztyrz.xlsx,outlier_signature,код товара | наименование товара | цена | заказ,
2020-02-03_09-32-13__edHFQ5gxM7zYGZjyQQP4yOfuhRcb6AKj2n2v3x5N.xlsx,outlier_signature,код товара | наименование товара | цена | заказ,
2020-02-04_08-21-09__eLsBNbIVIomqgtahIti00ZHV3WPZ5FQjX5JjTmxM.xlsx,outlier_signature,код товара | наименование товара | цена | заказ,
2020-02-10_08-51-25__JAAepj8GgwsRZ5oG8TQjnaT9zeMEppPyBF4EVy9d.xlsx,outlier_signature,код товара | наименование товара | цена | заказ,
2020-02-17_08-08-12__tN36Br5KLK83yNHE59AJUy698ADscR75DfVCMYfw.xlsx,outlier_signature,код товара | наименование товара | цена | заказ,
2020-02-21_08-00-53__LeM2HJHUic8xEHr8lhCohYf7eEIY6hxnR7KaEio5.xlsx,outlier_signature,код товара | наименование товара | цена | заказ,
