name,status,signature,read_error
2019-04-16_21-01-11__AibVAbRbdBiaMmsyF3aIMwZDt2DClBWD2V9g1DLR.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-04-22_13-28-44__Ltb847jhxxOUxboKXqyFMiLmC3sKIE0FHLsfHED3.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-04-22_13-33-37__84E5bAbJG0PEUnUreydo9tXlWYzSr49iVxVhPQZW.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-04-22_23-00-51__XIQjZ7nVwHEQNK4173TLxt1AIQ36UgreSHnTCeWW.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-04-22_23-01-59__zPYwBXR3KtDDygeP0ZybES8tY2x1sEBbVw518iwn.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-04-26_11-58-38__t7j8miv6wxgalMfSmRmvpCGoWKrvherQ2eeStufn.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-04-27_13-08-35__bcAq7Xvs0b7OPxFV0eZTLvzzMeI20zj4m5ALZl1A.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-04-29_20-23-46__UT6AHIuxWrFH9SIm8TDwcnsOji55ciFPfDPc7xcu.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-05-07_08-47-06__F5GEUZzYVjXeu7MJlMIBrlq2m0gmT2leWs5QmSgE.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-05-08_09-07-16__2NzcTluh1WKzFxcdHVPiQAbnrLvBFZgpRxiPQNLc.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-05-08_09-08-41__9xWFfvBdznNVZCtGB9sgXE55ARaffCPThuzI8HvC.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-05-12_11-22-47__63072cNh2roXmEzrfTEFLdaur8FYCinMKnSeBJ7D.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-05-14_09-06-26__5MLwAJuZStdzFTwhk3nxlY0s3lQ3Z835HXxyezsI.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-05-15_08-45-27__nSrG8e0qtLhQeYyQFgsZgHmDup1ZQuwNBnfRvQzu.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-05-16_08-50-15__yhx97N3899D0ZVKPoy062LXgfEXMuT8jcJgqOjFo.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-05-17_11-57-18__V85QG1r5gTYUz1JFq8WhSHjLhnBIpdZKXjuslfCs.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-05-17_19-34-16__nJ6k9vszDY3FIK42So9pSwtYFsr4bzfdeuO0W8Zz.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-05-20_20-13-58__cfSpZ6HElheTv6iSicT1HvCB5aWmGIyRI2xfuCtx.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-05-22_09-02-59__kiDb6ux4q9flmo1FTl0MlKB0dVW9MGV0aADJpsAP.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-05-23_08-38-36__akf8pppbU983w36Na6i5RNdetJwRJCSMq0ho8sqy.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-05-23_20-30-53__sMndTeiiqvkaHvzxvXdYD0wQcCqfSlN3DMcOiIAh.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
