id,brand,name,concentration,audience,collection_name,release_year,is_published,verification_status
13833,100 Bon,Ambre Et Tonka,Eau de Parfum,,,,0,review
12082,100 Bon,Ambre Sensuel,Eau de Toilette,,,,0,review
13653,100 Bon,Bois De Mangrove,Eau de Parfum,,,,0,review
13647,100 Bon,Bois Oriental & Ylang,Eau de Parfum,,,,0,review
11985,100 Bon,Bois & Poudre,Eau de Toilette,,,,0,review
13427,100 Bon,Ebene & Ambre,Eau de Parfum,,,,0,review
13403,100 Bon,Ellena - Ambre Et Tonka,Eau de Parfum,,,,0,review
11706,100 Bon,Glam Flower,Eau de Toilette,,,,0,review
13147,100 Bon,Incense Et Cuir,Eau de Parfum,,,,0,review
18444,100 Bon,Mirage du Desert,Eau de Parfum,,,,0,review
11452,100 Bon,Mirage du Desert,Eau de Toilette,,,,0,review
12851,100 Bon,Musc & Jasmin,Eau de Parfum,,,,0,review
11402,100 Bon,Nuage de Coton,Eau de Toilette,,,,0,review
12558,100 Bon,ROSE & BLACK PEPPER,Eau de Parfum,,,,0,review
11270,100 Bon,Secret Garden,Eau de Toilette,,,,0,review
11239,100 Bon,Soleil & Ambre,Eau de Toilette,,,,0,review
12224,100 Bon,Vetiver & Iris,Eau de Parfum,,,,0,review
12146,100 Bon,Zeste d'Agrumes,Eau de Parfum,,,,0,review
12147,100 Bon,Zeste D’ORANGE & OUD,Eau de Parfum,,,,0,review
15885,12 Parfumeurs,Azay-Le-Rideau,Extrait de Parfum,,,,0,review
15845,12 Parfumeurs,Chambord,Extrait de Parfum,,,,0,review
10915,12 Parfumeurs,Fontainebleau,Extrait de Parfum,,,,0,review
19182,12 Parfumeurs,Francais Amboise,Eau de Parfum,,,,0,review
19181,12 Parfumeurs,Francais Chenonceau,Eau de Parfum,,,,0,review
15766,12 Parfumeurs,Francais Conciergerie,Extrait de Parfum,,,,0,review
10912,12 Parfumeurs,Francais Jardin Du Roi,Extrait de Parfum,,,,0,review
19180,12 Parfumeurs,Francais Mon Roi,Eau de Parfum,,,,0,review
18914,12 Parfumeurs,Intrigue de l’Amour,Eau de Parfum,,,,0,review
10876,12 Parfumeurs,Intrigue de l’Amour,Extrait de Parfum,,,,0,review
18913,12 Parfumeurs,Intrigues des Hommes,Eau de Parfum,,,,0,review
15696,12 Parfumeurs,La Ballue,Extrait de Parfum,,,,0,review
18775,12 Parfumeurs,La Destinee,Eau de Parfum,,,,0,review
10845,12 Parfumeurs,La Destinee,Extrait de Parfum,,,,0,review
15694,12 Parfumeurs,La Reine Margot,Extrait de Parfum,,,,0,review
15686,12 Parfumeurs,Le Bien Aime,Extrait de Parfum,,,,0,review
15685,12 Parfumeurs,Le Bon Roi,Extrait de Parfum,,,,0,review
18727,12 Parfumeurs,Le Charme,Eau de Parfum,,,,0,review
18726,12 Parfumeurs,Le Charmeur,Eau de Parfum,,,,0,review
10838,12 Parfumeurs,Le Fantome,Extrait de Parfum,,,,0,review
10834,12 Parfumeurs,Le Roi Chanceux,Extrait de Parfum,,,,0,review
15682,12 Parfumeurs,Le Roi Chevalier,Extrait de Parfum,,,,0,review
15681,12 Parfumeurs,Le Roi Prudent,Extrait de Parfum,,,,0,review
15680,12 Parfumeurs,Le Roi Soleil,Extrait de Parfum,,,,0,review
18581,12 Parfumeurs,Luxembourg,Eau de Parfum,,,,0,review
15659,12 Parfumeurs,Madame La Reine,Extrait de Parfum,,,,0,review
18558,12 Parfumeurs,Madame Royale,Eau de Parfum,,,,0,review
15658,12 Parfumeurs,Madame Royale,Extrait de Parfum,,,,0,review
10813,12 Parfumeurs,Malmaison,Extrait de Parfum,,,,0,review
18567,12 Parfumeurs,Ma Reine,Eau de Parfum,,,,0,review
