id,name,brand,description,category,updated_at,created_at
76,Boriki,Boriki,Boriki,1,2026-02-22 15:16:43,2019-03-30 16:14:37
77,Beautiparfum,Beautiparfum,Beautiparfum,2,2024-11-23 19:45:32,2019-03-30 16:16:51
78,Rarparfum,Rarparfum,Rarparfum,2,2024-11-23 19:45:33,2019-03-30 16:19:51
79,Avangard,Avangard,Avangard,2,2024-11-23 19:45:34,2019-03-30 16:22:34
82,Antonina,Antonina,Antonina,2,2024-11-23 19:45:35,2019-03-31 09:46:21
84,David,David,David,2,2025-04-11 10:46:54,2019-03-31 09:52:08
85,Gamalica,Gamalica,Gamalica,2,2023-10-23 06:28:47,2019-03-31 09:54:09
86,Chantal,Chantal,Chantal,2,2024-11-23 19:45:37,2019-03-31 09:56:23
88,Paikar,Paikar,Paikar,2,2024-08-18 20:15:47,2019-03-31 10:00:10
89,Parfumir,Parfumir,Parfumir,2,2022-08-01 16:04:54,2019-03-31 10:03:04
90,Vaganov,Vaganov,Vaganov,2,2024-11-23 19:45:39,2019-03-31 10:05:23
91,Ashot,Ashot,Ashot,2,2023-10-11 09:32:08,2019-03-31 10:10:50
92,Vovk,Vovk,Vovk,2,2021-03-11 15:57:07,2019-03-31 10:12:52
94,Yarik,Yarik,Yarik,2,2024-11-23 19:45:42,2019-03-31 10:17:48
95,Stas USA,Stas USA,Stas USA,2,2023-10-11 09:32:19,2019-03-31 10:20:40
96,Svetlana Erik,Svetlana Erik,Svetlana Erik,2,2024-10-11 18:44:34,2019-03-31 10:24:18
98,Deparfumes,Deparfumes,Deparfumes,2,2023-09-20 10:02:43,2019-03-31 10:28:36
101,Lev,Lev,Lev,2,2021-01-25 06:49:37,2019-03-31 10:51:50
103,Ust,Ust,Ust,2,2022-04-05 16:38:54,2019-03-31 11:02:27
109,Igells,Igells,Igells,2,2024-11-23 19:45:46,2019-03-31 12:18:10
111,Natasha,Natasha,Natasha,2,2024-11-23 19:45:47,2019-03-31 12:22:32
112,Parfumerovv,Parfumerovv,Parfumerovv,2,2023-05-16 15:21:31,2019-03-31 12:24:40
113,Karrera,Karrera,Karrera,2,2024-11-23 19:45:48,2019-03-31 12:27:17
114,Alexbobok,Alexbobok,Alexbobok,2,2024-11-23 19:45:50,2019-03-31 12:29:09
115,Svetlanushka,Svetlanushka,Svetlanushka,2,2020-08-09 17:05:04,2019-03-31 12:31:16
117,Inna,Inna,Inna,2,2022-07-21 19:34:55,2019-03-31 12:35:33
118,Bratya,Bratya,Bratya,2,2024-05-19 13:57:37,2019-03-31 12:37:44
119,Sima,Sima,Sima,2,2023-09-11 09:52:58,2019-03-31 12:40:06
121,Ruzanna,Ruzanna,Ruzanna,2,2021-10-26 07:21:40,2019-04-25 16:05:34
122,ЮКВ YuKaVe,ЮКВ YuKaVe,ЮКВ YuKaVe,2,2023-10-11 09:32:49,2019-04-26 07:25:23
124,Parfumelita,Parfumelita,Parfumelite,2,2024-11-23 19:45:53,2019-04-26 08:00:50
125,Valentina,Valentina,Valentina,2,2022-11-24 05:00:58,2019-04-26 08:07:55
127,Viacheslav,Viacheslav,Viacheslav,2,2024-08-19 05:13:34,2019-05-17 07:52:05
128,Oleg,Oleg,Oleg,2,2024-11-23 19:45:55,2019-05-20 04:49:29
130,Margarita,Margarita,Margarita,2,2024-02-26 05:13:39,2019-05-22 14:48:49
132,Vitalik,Vitalik,Vitalik,2,2024-11-23 19:45:58,2019-05-28 15:04:58
135,Alians,Alians,Alians,2,2023-04-13 11:27:39,2019-06-29 05:26:31
136,Oleg white,Oleg white,Oleg white,2,2019-06-29 07:32:25,2019-06-29 05:29:28
140,Gor,Gor,Gor,2,2024-11-23 19:46:00,2019-12-12 20:09:40
141,Ruslan Palladium,Ruslan Palladium,Ruslan Palladium,2,2024-11-23 19:46:05,2019-12-16 21:19:55
142,Gevorg,Gevorg,Gevorg,2,2024-06-05 12:31:44,2019-12-25 18:37:53
144,Vitalik 3132,Vitalik3132,Vitalik3132,2,2025-03-12 09:40:25,2020-06-09 05:08:08
146,Tigran Vietnam,Tigran Vietnam,Tigran Vietnam,2,2024-08-06 14:56:39,2020-06-25 06:30:31
150,vnparfum,vnparfum,vnparfum,2,2024-11-23 19:46:14,2020-08-30 05:38:02
152,Max Palladium,Max Palladium,Max Palladium,2,2024-11-23 19:46:15,2020-09-04 08:28:33
153,Lux 3136,Lux 3136,Lux 3136,2,2023-09-20 10:06:10,2020-11-24 15:10:54
154,Inna testers,Inna testers,Inna testers,2,2024-11-23 19:46:23,2020-12-07 07:43:58
